claim_number,age_of_driver,gender,marital_status,safety_rating,annual_income,high_education,address_change,property_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present,liab_prct,channel,police_report,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,total_claim,injury_claim,policy deductible,annual premium,days open,form defects,fraud reported
0.00036680759282518816,0.3278688524590164,1,2,0.625,0.4568911292545646,1.0,0.0,0,0.5882256149877179,575,3,0,0.0,1,0.25,2,0.0,14,1,0.3858960250625445,5,0.42296122949179044,6800,0.3333333333333333,0.5989050153934818,0.492353748920501,0.5555555555555556,0
0.0001333822401547234,0.2295081967213115,1,2,0.6111111111111112,0.2349063507099503,0.0,1.0,0,0.5877319793613296,74,1,1,0.0,2,0.45,2,0.0,8,2,0.36999421111010705,0,0.424265857978977,10100,1.0,0.6056008007643661,0.5986124935646614,0.5555555555555556,1
0.0012671312814698725,0.19672131147540983,1,2,0.6666666666666667,0.7146177595340841,1.0,1.0,0,0.17654525580903355,199,3,1,0.0,1,1.0,2,0.0,13,2,0.30476783150578624,2,0.22328196201826922,2342,0.3333333333333333,0.4415805996633151,0.46300990720880464,0.3333333333333333,0
0.001300476841508553,0.5573770491803279,0,2,0.9027777777777777,0.6028814009552879,0.0,1.0,0,0.9993418191648156,262,4,2,0.0,1,1.0,2,0.0,2,2,0.5364169714276842,4,0.3222940587429838,7579,0.0,0.06940716138131853,0.538504811566087,0.4444444444444444,0
0.0015338957617793193,0.3606557377049181,1,2,0.8194444444444444,0.46462841004205063,1.0,0.0,0,0.9407989845209972,672,7,1,0.0,1,0.25,2,0.0,12,2,0.4600105560136673,4,0.5612062580238562,4485,0.3333333333333333,0.4328753203815764,0.618021430436504,0.2222222222222222,0
0.0017006235619727232,0.3770491803278688,0,1,0.5555555555555556,0.17463700562848017,1.0,0.0,0,0.9407519716041983,430,4,1,0.0,2,0.84,2,1.0,10,2,0.1804296453650156,6,0.0695127278519411,1970,1.0,0.2692494350668062,0.5545907889972586,0.2222222222222222,1
0.002434225882823702,0.5081967213114754,1,2,0.8472222222222221,0.4960317460317459,1.0,1.0,1,0.2368393216036106,424,5,2,0.0,1,0.1,2,0.0,12,1,0.8980489247621015,5,0.0799841093683213,7643,1.0,0.3695876366835009,0.48817633104206437,0.3333333333333333,0
0.002600953683017106,0.3770491803278688,0,2,0.5555555555555556,0.6640591717162604,1.0,0.0,0,0.9404346344158058,613,5,2,0.3333333333333333,1,0.77,2,1.0,8,1,0.2693507862615765,0,0.4517766771468713,10718,0.3333333333333333,0.3573335153252347,0.6138950221837222,0.2222222222222222,0
0.003134482643636,0.18032786885245905,0,2,0.7083333333333333,0.22005633178963613,1.0,1.0,0,0.5881433423833199,662,1,2,0.0,1,0.61,2,0.0,13,2,0.45157858628356334,5,0.22696818967673765,4288,0.3333333333333333,0.2815869693798626,0.3680662311649717,0.3333333333333333,1
0.0032345193237520425,0.4918032786885246,0,1,0.4027777777777778,0.49247635587231414,1.0,0.0,0,0.9404346344158058,539,2,1,0.0,1,0.18,2,1.0,3,1,0.366595902955497,1,0.5484878023441002,4909,1.0,0.40829883070203377,0.558390182152367,0.5555555555555556,0
